DEPT,DPHI,GR,ILD,FORMATION
5241.5,5.317,100.604,11.926,2
5242,4.802,99.396,12.199,2
5242.5,4.921,96.579,12.797,2
5243,5.079,93.36,13.32,2
5243.5,5.119,94.97,13.32,2
5244,5.278,96.982,13.32,2
5244.5,5.437,99.799,13.32,2
5245,5.516,104.225,13.161,2
5245.5,5.675,106.64,12.826,2
5246,6.19,106.237,12.257,2
5246.5,6.111,105.433,11.757,2
5247,5.913,107.042,11.115,2
5247.5,5.992,107.445,10.934,2
5248,5.873,106.64,10.934,2
5248.5,5.675,105.03,10.934,2
5249,5.397,103.421,11.457,2
5249.5,5.198,100.604,11.854,2
5250,4.975,100.2,12.351,2
5250.5,4.499,100.2,13.359,2
5251,4.062,101.403,14.093,2
5251.5,3.744,103.407,14.976,2
5252,4.022,103.808,15.62,2
5252.5,3.982,107.014,15.936,2
5253,3.585,107.014,15.78,2
5253.5,3.466,107.014,15.396,2
5254,3.347,108.216,14.975,2
5254.5,3.227,112.224,14.44,2
5255,3.227,115.03,14.084,2
5255.5,3.823,118.236,13.762,2
5256,4.657,121.844,13.1,2
5256.5,5.134,126.653,12.948,2
5257,5.253,127.054,12.948,2
5257.5,5.412,127.054,12.948,2
5258,5.372,127.455,12.751,2
5258.5,6.048,125.852,12.414,2
5259,5.73,124.248,11.942,2
5259.5,5.412,123.447,11.27,2
5260,5.214,125.852,9.841,2
5260.5,5.293,126.253,9.343,2
5261,5.571,133.066,8.282,2
5261.5,5.372,150.701,7.412,2
5262,5.372,171.543,7.171,2
5262.5,7.716,178.357,7.171,2
5263,9.186,172.745,7.378,2
5263.5,8.908,152.705,7.81,2
5264,8.352,134.269,8.502,2
5264.5,7.358,111.824,9.195,2
5265,7.239,105.01,10.12,2
5265.5,6.524,106.613,10.938,2
5266,5.968,110.22,12.08,2
5266.5,5.253,113.828,12.151,2
5267,4.816,116.633,11.681,2
5267.5,4.459,118.236,11.481,2
5268,4.578,117.034,11.155,2
5268.5,5.293,111.423,11.155,2
5269,5.571,107.014,10.871,2
5269.5,5.611,103.808,10.535,2
5270,5.77,101.403,10.199,2
5270.5,5.889,101.804,10.159,2
5271,5.611,104.609,10.428,2
5271.5,5.611,106.212,10.928,2
5272,5.65,109.419,11.038,2
5272.5,5.73,110.621,11.155,2
5273,5.73,110.22,10.558,2
5273.5,5.571,110.621,10.371,2
5274,5.69,110.22,10.359,2
5274.5,5.849,110.22,10.359,2
5275,5.873,112.851,10.537,2
5275.5,6.111,114.859,10.673,2
5276,6.349,115.663,10.81,2
5276.5,6.548,115.261,11.133,2
5277,6.548,116.064,11.282,2
5277.5,6.389,112.048,11.332,2
5278,6.151,106.827,11.499,3
5278.5,5.635,103.213,11.719,3
5279,5.159,100.402,11.992,3
5279.5,4.246,100,12.494,3
5280,3.611,101.606,13.135,3
5280.5,3.611,100.402,13.917,3
5281,3.532,95.181,14.425,3
5281.5,3.333,90.763,15.581,3
5282,3.135,85.141,16.946,3
5282.5,3.095,80.321,19.245,3
5283,3.254,78.313,20.08,3
5283.5,3.452,75.502,21.743,3
5284,4.167,73.092,23.618,3
5284.5,4.286,71.888,25.035,3
5285,4.643,69.88,26.561,3
